ERR771001.666_3_299_-	77105a0a410e2025b44c043cdb6c9e0d	99	Pfam	PF00106	short chain dehydrogenase	1	99	4.2E-24	T	21-05-2021	IPR002347	Short-chain dehydrogenase/reductase SDR	GO:0055114
ERR771001.2491_1_297_-	741772eada16b9ad326ca63c32eef7ab	99	Pfam	PF01625	Peptide methionine sulfoxide reductase	26	99	1.3E-28	T	21-05-2021	IPR002569	Peptide methionine sulphoxide reductase MsrA	GO:0008113|GO:0055114
ERR771001.1061_2_298_+	c9976ecc46af9a94ff14a04dfbd2bfc1	99	Pfam	PF00848	Ring hydroxylating alpha subunit (catalytic domain)	58	90	5.5E-6	T	21-05-2021	IPR015879	Aromatic-ring-hydroxylating dioxygenase, alpha subunit, C-terminal domain	GO:0005506|GO:0044237|GO:0051537|GO:0055114
ERR771001.50_1_297_-	dcc2e2744f12311345ddf59a836f1183	99	Pfam	PF00773	RNB domain	1	96	7.5E-37	T	21-05-2021	IPR001900	Ribonuclease II/R	GO:0003723|GO:0004540
ERR771001.1730_3_167_+	e0a96b4d4a28704e21357c191c3965f1	55	Pfam	PF01551	Peptidase family M23	7	51	1.6E-8	T	21-05-2021	IPR016047	Peptidase M23	
ERR771001.1049_2_286_+	fe2f9abc96d5edf335080c83845691f0	95	Pfam	PF00022	Actin	1	86	5.0E-17	T	21-05-2021	IPR004000	Actin family	
ERR771001.2393_3_251_-	d10001b74d4291a0e804c7c89c633e5f	83	Pfam	PF02615	Malate/L-lactate dehydrogenase	12	81	3.0E-14	T	21-05-2021	IPR003767	Malate/L-lactate dehydrogenase-like	GO:0016491|GO:0055114
ERR771001.1586_3_299_-	c3a1e1b1e2bf2aa32e0f8adad8924af3	99	Pfam	PF07686	Immunoglobulin V-set domain	3	97	9.5E-11	T	21-05-2021	IPR013106	Immunoglobulin V-set domain	
ERR771001.2038_2_193_-	a0b2f40ef54af82715bca075eaeb2fe0	64	Pfam	PF00137	ATP synthase subunit C	10	61	7.7E-10	T	21-05-2021	IPR002379	V-ATPase proteolipid subunit C-like domain	GO:0015078|GO:0033177|GO:1902600
ERR771001.1594_99_299_-	d6edf935600370e7e83fd910112c19aa	66	Pfam	PF05698	Bacterial trigger factor protein (TF) C-terminus	1	43	8.6E-6	T	21-05-2021	IPR008880	Trigger factor, C-terminal	GO:0006457|GO:0015031
ERR771001.1312_14_298_+	25b9cb87d3bf2f759fb9466937eba443	95	Pfam	PF13855	Leucine rich repeat	37	95	1.8E-9	T	21-05-2021	IPR001611	Leucine-rich repeat	GO:0005515
ERR771001.1592_1_297_+	a5aef5728520bb4a521b99986db4090b	99	Pfam	PF12146	Serine aminopeptidase, S33	5	99	1.5E-9	T	21-05-2021	IPR022742	Serine aminopeptidase, S33	
